Item Number,Item Description,U/M Type,U/M,Item Class,Item Type
716-01.05,Temporary Raised Pavement Marker,EACH,Each,Pavement Marking,Pavement Marking Misc.
716-01.22,Snowplowable Raised Pavment Markers (Mono-Dir)(1 Color),EACH,Each,Pavement Marking,Pavement Marking Misc.
716-01.06,"Temporary Raised Pavement Marker,White",EACH,Each,Pavement Marking,Pavement Marking Misc.
716-01.07,"Temporary Raised Pavement Marker,Yellow",EACH,Each,Pavement Marking,Pavement Marking Misc.
716-01.12,Raised Pvmt Markers (Mono-Directional) (1 Color Lens),EACH,Each,Pavement Marking,Pavement Marking Misc.
716-01.13,Raised Pvmt Markers (Bi-Directional) (2 Color Lens),EACH,Each,Pavement Marking,Pavement Marking Misc.
716-01.11,Raised Pvmt Markers (Bi-Directional) (1 Color Lens),EACH,Each,Pavement Marking,Pavement Marking Misc.
716-01.14,Raised Pavement Marker Removal,EACH,Each,Pavement Marking,Pavement Marking Misc.
716-01.21,Snowplowable Raised Pavement Markers (Bi-Dir) (1 Color),EACH,Each,Pavement Marking,Pavement Marking Misc.
716-01.23,Snowplowable Raised Pavement Markers (Bi-Dir)(2 Color),EACH,Each,Pavement Marking,Pavement Marking Misc.
716-01.30,Removal Of Snowplowable Reflective Marker,EACH,Each,Pavement Marking,Pavement Marking Misc.
716-01.40,Remove And Replace Lens On Snowplowable Reflective Marker,EACH,Each,Pavement Marking,Pavement Marking Misc.
716-02.03,Plastic Pavement Marking (Cross-Walk),L.F.,Linear Feet,Pavement Marking,Plastic-Thermal
716-02.05,Plastic Pavement Marking (Stop Line),L.F.,Linear Feet,Pavement Marking,Plastic-Thermal
716-02.04,Plastic Pavement Marking(Channelization Striping),S.Y.,Square Yard,Pavement Marking,Plastic-Thermal
716-02.06,Plastic Pavement Marking (Turn Lane Arrow),EACH,Each,Pavement Marking,Plastic-Thermal
716-02.08,"Plastic Pavement Marking (8"" Dotted Line)",L.F.,Linear Feet,Pavement Marking,Plastic-Thermal
716-02.07,"Plastic Pavement Marking (24"" Barrier Line)",L.F.,Linear Feet,Pavement Marking,Plastic-Thermal
716-02.09,Plastic Pavement Marking (Longitudinal Cross-Walk),L.F.,Linear Feet,Pavement Marking,Plastic-Thermal
716-02.11,"Plastic Pavement Marking (6"" Dotted Line)",L.F.,Linear Feet,Pavement Marking,Plastic-Thermal
716-02.12,Plastic Pavement Marking (8In Line),L.M.,Linear Mile,Pavement Marking,Plastic-Thermal
716-02.22,Plastic Aerial Speed Bars,L.F.,Linear Feet,Pavement Marking,Plastic-Thermal
716-02.15,Plastic Pavement Marking (U Turn Arrow),EACH,Each,Pavement Marking,Plastic-Thermal
716-02.24,Plastic Pavement Marking (12In Dwl),L.F.,Linear Feet,Pavement Marking,Plastic-Thermal
716-02.23,Plastic Pavement Marking (12In Barrier Line),L.F.,Linear Feet,Pavement Marking,Plastic-Thermal
716-02.30,"Retracing Pavement Markings - Plastic (4"" Line)",L.M.,Linear Mile,Pavement Marking,Painted
716-02.31,"Retracing Pavement Markings - Plastic (8"" Barrier Line)",L.F.,Linear Feet,Pavement Marking,Painted
716-02.32,"Retracing Pavement Markings - Plastic (6"" Line)",L.M.,Linear Mile,Pavement Marking,Painted
716-02.33,Retracing Pavement Markings - Plastic (Dotted Line),L.F.,Linear Feet,Pavement Marking,Painted
716-03.01,Plastic Word Pavement Marking (Only),EACH,Each,Pavement Marking,Plastic-Thermal
716-03.02,Plastic Word Pavement Marking (Rxr),EACH,Each,Pavement Marking,Plastic-Thermal
716-03.03,Plastic Word Pavement Marking (Stop Ahead),EACH,Each,Pavement Marking,Plastic-Thermal
716-03.05,Plastic Word Pavement Marking (Bike Lane),EACH,Each,Pavement Marking,Plastic-Thermal
716-03.04,Plastic Word Pavement Marking (School),EACH,Each,Pavement Marking,Plastic-Thermal
716-03.06,Plastic Word Pavement Marking (Signal Ahead),EACH,Each,Pavement Marking,Plastic-Thermal
716-03.07,Plastic Word Pavement Marking (Stop),EACH,Each,Pavement Marking,Plastic-Thermal
716-03.08,Plastic Word Pavement Marking (Ped-Xing),EACH,Each,Pavement Marking,Plastic-Thermal
716-03.09,Plastic Word Pavement Marking (                      ),EACH,Each,Pavement Marking,Plastic-Thermal
716-03.10,Plastic Word Pavement Marking (                      ),EACH,Each,Pavement Marking,Plastic-Thermal
716-03.11,Plastic Word Pavement Marking (                      ),EACH,Each,Pavement Marking,Plastic-Thermal
716-03.12,Plastic Pvmt Marking (Description),EACH,Each,Pavement Marking,Plastic-Preformed
716-03.13,Plastic Pvmt Marking (No Trucks This Lane),EACH,Each,Pavement Marking,Plastic-Preformed
716-04.01,Plastic Pavement Marking (Straight-Turn Arrow),EACH,Each,Pavement Marking,Plastic-Thermal
716-04.02,Plastic Pavement Marking(Double Turning Arrow),EACH,Each,Pavement Marking,Plastic-Thermal
716-04.04,Plastic Pavement Marking (Transverse Shoulder),L.F.,Linear Feet,Pavement Marking,Plastic-Thermal
716-04.03,"Plastic Pavement Marking (4"" Dotted Line)",L.F.,Linear Feet,Pavement Marking,Plastic-Thermal
716-04.05,Plastic Pavement Marking (Straight Arrow),EACH,Each,Pavement Marking,Plastic-Thermal
716-04.06,Plastic Pavement Marking (Wrong Way Arrow),EACH,Each,Pavement Marking,Plastic-Thermal
716-04.07,Plastic Pavement Marking (Exit Only Arrow),EACH,Each,Pavement Marking,Plastic-Thermal
716-04.08,Plastic Pavement Marking (Option Lane Arrow),EACH,Each,Pavement Marking,Plastic-Thermal
716-04.09,Plastic Pavement Marking (H.O.V. Diamond),EACH,Each,Pavement Marking,Plastic-Thermal
716-04.10,Plastic Pavement Marking (Handicap Symbol),EACH,Each,Pavement Marking,Plastic-Thermal
716-04.11,Plastic Pavement Marking (Bicycle Symbol W/Rider),EACH,Each,Pavement Marking,Plastic-Thermal
716-04.12,Plastic Pavement Marking (Yield Line),S.F.,Square Feet,Pavement Marking,Plastic-Thermal
716-04.14,Plastic Pavement Marking (Lane Reduction Arrow),EACH,Each,Pavement Marking,Plastic-Thermal
716-04.13,Plastic Pavement Marking (Bikelane Symbol & Arrow),EACH,Each,Pavement Marking,Plastic-Thermal
716-04.15,Plastic Pavement Marking-Bike Symbol/Arrow Shared,EACH,Each,Pavement Marking,Plastic-Thermal
716-04.16,Plastic Pavement Marking (Noise Strip),L.F.,Linear Feet,Pavement Marking,Plastic-Thermal
716-04.17,Plastic Pavement Marking (Yield Symbol),EACH,Each,Pavement Marking,Plastic-Thermal
716-04.18,Plastic Pavement Marking (Bike/Xing),EACH,Each,Pavement Marking,Plastic-Thermal
716-04.21,Green Textured Bike Lane,S.Y.,Square Yard,Pavement Marking,Plastic-Thermal
716-04.23,Plastic Pavement Marking (Fish-Hooks With 1 Arrow),EACH,Each,Pavement Marking,Plastic-Thermal
716-04.24,Plastic Pavement Marking (Fish-Hooks With 2 Arrows),EACH,Each,Pavement Marking,Plastic-Thermal
716-04.25,Plastic Pavement Marking (Fish-Hooks With 3 Arrows),EACH,Each,Pavement Marking,Plastic-Thermal
716-05.01,"Painted Pavement Marking (4"" Line)",L.M.,Linear Mile,Pavement Marking,Painted
716-05.02,"Painted Pavement Marking (8"" Barrier Line)",L.F.,Linear Feet,Pavement Marking,Painted
716-05.03,Painted Pavement Marking (Cross-Walk),L.F.,Linear Feet,Pavement Marking,Painted
716-05.04,Painted Pavement Marking (Channelization Striping),S.Y.,Square Yard,Pavement Marking,Painted
716-05.05,Painted Pavement Marking (Stop Line),L.F.,Linear Feet,Pavement Marking,Painted
716-05.06,Painted Pavement Marking (Turn Lane Arrow),EACH,Each,Pavement Marking,Painted
716-05.07,"Painted Pavement Marking (24"" Barrier Line)",L.F.,Linear Feet,Pavement Marking,Painted
716-05.08,Painted Pavement Marking (Parking Line),L.F.,Linear Feet,Pavement Marking,Painted
716-05.09,Painted Pavement Marking(Straight-Turn Arrow),EACH,Each,Pavement Marking,Painted
716-05.10,Painted Pavement Marking (Rxr),EACH,Each,Pavement Marking,Painted
716-05.11,Painted Pavement Marking(Straight Arrow),EACH,Each,Pavement Marking,Painted
716-05.12,"Painted Pavement Marking (Contrast 6"" Line)",L.M.,Linear Mile,Pavement Marking,Painted
716-05.13,"Painted Pavement Marking (Contrast 8"" Line)",L.M.,Linear Mile,Pavement Marking,Painted
716-05.14,"Painted Pavement Marking (Contrast Shadow Marking 6"")",L.M.,Linear Mile,Pavement Marking,Painted
716-05.20,"Painted Pavement Marking (6"" Line)",L.M.,Linear Mile,Pavement Marking,Painted
716-05.15,"Painted Pavement Marking (Contrast Shadow Marking 8"")",L.M.,Linear Mile,Pavement Marking,Painted
716-05.21,"Painted Pavement Marking(4""Dotted Line)",L.F.,Linear Feet,Pavement Marking,Painted
716-05.22,Painted Pavement Marking (Longitudinal Cross-Walk),L.F.,Linear Feet,Pavement Marking,Painted
716-05.23,"Painted Pavement Marking (4""Line)",L.F.,Linear Feet,Pavement Marking,Painted
716-05.49,"Painted Pavement Markings(8"" Line)",L.M.,Linear Mile,Pavement Marking,Painted
716-05.50,"Painted Pavement Markings(8"" Line)",L.F.,Linear Feet,Pavement Marking,Painted
716-05.51,"Painted Pavement Markings(12"" Line)",L.F.,Linear Feet,Pavement Marking,Painted
716-05.52,Painted Pavement Marking(Area),S.F.,Square Feet,Pavement Marking,Painted
