iter	RMSE
0	2.343188542
1	2.133366806
2	1.945227712
3	1.772851618
4	1.624271889
5	1.489254435
6	1.369673143
7	1.265454508
8	1.168123179
9	1.083451517
10	1.010620495
11	0.9437780872
12	0.8840552148
13	0.8321591204
14	0.7852450083
15	0.745186518
16	0.7098511825
17	0.6781743953
18	0.6504792875
19	0.6270313337
20	0.6050920161
21	0.5859518474
22	0.5698279769
23	0.5551169625
24	0.5427818644
25	0.5321523341
26	0.5224056757
27	0.5142723919
28	0.5076132614
29	0.5005203895
30	0.4941595369
31	0.4885154566
32	0.4836052499
33	0.4791352044
34	0.4750926348
35	0.4713281107
36	0.4680390308
37	0.4643758059
38	0.4615904751
39	0.4588544875
40	0.4565985337
41	0.4544029257
42	0.4519913751
43	0.4495150625
44	0.4473581284
45	0.4453007202
46	0.4433123923
47	0.4416531402
48	0.4401198221
49	0.4383160195
50	0.4370226633
51	0.4351393224
52	0.4337022688
53	0.4316144255
54	0.4304288024
55	0.4289761678
56	0.4280559723
57	0.4272553134
58	0.4263796868
59	0.4242565566
60	0.4228038165
61	0.4219969336
62	0.4200897175
63	0.4190031726
64	0.4181085327
65	0.4169221838
66	0.4161418031
67	0.415420462
68	0.4146103288
69	0.4139131679
70	0.4132812937
71	0.4125700862
72	0.4117745953
73	0.4109991207
74	0.4099793554
75	0.4084288683
76	0.4077940982
77	0.4067757116
78	0.4061449496
79	0.4051165445
80	0.4044291929
81	0.4036647421
82	0.4031591587
83	0.4026443033
84	0.4021281668
85	0.4013767599
86	0.4006248427
87	0.4002389618
88	0.3996867041
89	0.3991958781
90	0.3986460821
91	0.3979848924
92	0.3971258601
93	0.3959193228
94	0.3955615166
95	0.39465049
96	0.3943232703
97	0.393043724
98	0.3925472927
99	0.3917112824
100	0.3913979824
101	0.3909294828
102	0.3904389322
103	0.3899837205
104	0.389212406
105	0.3884812915
106	0.387421793
107	0.3868855641
108	0.3861304066
109	0.3854899045
110	0.3849934124
111	0.3845675087
112	0.3837821878
113	0.3833625423
114	0.3830874308
115	0.38247363
116	0.3818040517
117	0.3815139243
118	0.3811680507
119	0.3804714455
120	0.3799448663
121	0.3796005009
122	0.3790055833
123	0.3785155247
124	0.3782318326
125	0.3778177674
126	0.3773057233
127	0.3765223833
128	0.3760366145
129	0.3756156317
130	0.3752422355
131	0.3746182466
132	0.3740269179
133	0.3734749762
134	0.3731191018
135	0.3727836248
136	0.3721946935
137	0.3716323415
138	0.3710429445
139	0.3708100648
140	0.3704522892
141	0.3702700156
142	0.3698955913
143	0.3694071998
144	0.3685403032
145	0.3682783361
146	0.3677730691
147	0.3670546599
148	0.3663833692
