iter	Passed	Remaining
0	58	58213
1	72	36054
2	81	27208
3	91	22802
4	98	19538
5	103	17140
6	108	15373
7	112	13913
8	118	13015
9	121	12075
10	127	11460
11	131	10852
12	135	10277
13	140	9885
14	145	9532
15	149	9206
16	154	8950
17	159	8698
18	164	8517
19	168	8263
20	174	8122
21	179	7957
22	183	7806
23	190	7761
24	197	7699
25	204	7656
26	210	7573
27	216	7503
28	220	7384
29	224	7254
30	228	7147
31	233	7056
32	240	7037
33	247	7045
34	254	7023
35	260	6986
36	265	6910
37	272	6898
38	278	6864
39	285	6863
40	293	6873
41	299	6842
42	306	6818
43	312	6789
44	322	6834
45	331	6864
46	338	6868
47	346	6867
48	350	6809
49	357	6795
50	364	6790
51	373	6808
52	379	6776
53	385	6746
54	392	6742
55	400	6750
56	409	6768
57	415	6754
58	424	6763
59	431	6758
60	439	6765
61	446	6752
62	453	6749
63	464	6787
64	471	6778
65	481	6810
66	488	6808
67	500	6862
68	509	6868
69	516	6857
70	524	6868
71	533	6877
72	543	6899
73	550	6882
74	556	6861
75	562	6835
76	571	6847
77	577	6827
78	583	6806
79	592	6810
80	600	6814
81	609	6818
82	618	6828
83	626	6831
84	635	6840
85	645	6859
86	653	6857
87	663	6873
88	671	6869
89	681	6887
90	687	6865
91	696	6873
92	706	6886
93	712	6865
94	721	6871
95	730	6879
96	735	6846
97	743	6846
98	751	6842
99	760	6841
100	768	6840
101	776	6832
102	786	6845
103	794	6848
104	802	6838
105	810	6833
106	816	6818
107	826	6822
108	833	6816
109	842	6817
110	850	6813
111	860	6825
112	869	6824
113	877	6822
114	885	6815
115	897	6839
116	905	6836
117	914	6836
118	922	6832
119	929	6818
120	938	6819
121	943	6787
122	952	6788
123	959	6775
124	967	6774
125	977	6781
126	986	6779
127	994	6777
128	1001	6760
129	1009	6752
130	1018	6755
131	1026	6748
132	1034	6740
133	1040	6726
134	1047	6713
135	1055	6702
136	1065	6713
137	1073	6703
138	1081	6701
139	1089	6692
140	1097	6685
141	1105	6681
142	1114	6681
143	1120	6659
144	1124	6629
145	1131	6618
146	1138	6606
147	1146	6602
148	1157	6612
149	1168	6619
150	1173	6597
151	1181	6593
152	1192	6599
153	1199	6591
154	1209	6595
155	1215	6574
156	1225	6579
157	1231	6564
158	1240	6561
159	1249	6557
160	1258	6556
161	1265	6546
162	1275	6549
163	1282	6535
164	1291	6536
165	1300	6534
166	1306	6517
167	1316	6520
168	1325	6518
169	1332	6506
170	1340	6499
171	1350	6498
172	1360	6504
173	1370	6504
174	1377	6495
175	1386	6491
176	1393	6480
177	1402	6477
178	1409	6464
179	1416	6455
180	1425	6447
181	1434	6445
182	1440	6430
183	1447	6418
184	1454	6407
185	1462	6402
186	1472	6402
187	1477	6380
188	1488	6389
189	1494	6372
190	1502	6361
191	1512	6365
192	1519	6353
193	1530	6359
194	1538	6351
195	1547	6349
196	1559	6354
197	1565	6341
198	1573	6331
199	1580	6320
200	1586	6304
201	1593	6296
202	1601	6285
203	1612	6290
204	1621	6286
205	1628	6275
206	1638	6276
207	1644	6263
208	1652	6253
209	1662	6254
210	1670	6246
211	1677	6235
212	1686	6232
213	1695	6227
214	1702	6216
215	1710	6208
216	1716	6193
217	1725	6188
218	1733	6181
219	1741	6175
220	1749	6165
221	1757	6157
222	1764	6147
223	1771	6135
224	1779	6130
225	1789	6127
226	1797	6119
227	1805	6113
228	1814	6110
229	1821	6099
230	1827	6083
231	1836	6078
232	1846	6079
233	1857	6079
234	1867	6079
235	1877	6077
236	1888	6081
237	1898	6077
238	1906	6069
239	1915	6067
240	1924	6061
241	1933	6054
242	1942	6052
243	1950	6042
244	1957	6033
245	1963	6018
246	1971	6011
247	1977	5996
248	1985	5987
249	1995	5987
250	2002	5976
251	2011	5971
252	2021	5968
253	2031	5965
254	2039	5958
255	2048	5952
256	2055	5943
257	2063	5935
258	2070	5924
259	2078	5914
260	2084	5902
261	2093	5897
262	2103	5893
263	2109	5881
264	2119	5877
265	2128	5872
266	2135	5861
267	2141	5849
268	2149	5840
269	2155	5828
270	2164	5822
271	2172	5815
272	2181	5810
273	2191	5806
274	2198	5796
275	2208	5794
276	2216	5785
277	2226	5783
278	2233	5772
279	2241	5763
280	2250	5757
281	2257	5747
282	2266	5742
283	2275	5737
284	2282	5727
285	2289	5715
286	2297	5708
287	2304	5697
288	2312	5688
289	2320	5681
290	2329	5676
291	2338	5668
292	2347	5665
293	2354	5654
294	2363	5648
295	2371	5640
296	2378	5629
297	2385	5619
298	2395	5615
299	2404	5609
300	2410	5598
301	2419	5592
302	2428	5585
303	2436	5577
304	2445	5571
305	2455	5568
306	2464	5564
307	2471	5552
308	2481	5549
309	2490	5543
310	2499	5538
311	2509	5534
312	2518	5527
313	2527	5522
314	2537	5518
315	2545	5509
316	2552	5500
317	2562	5496
318	2570	5486
319	2577	5476
320	2583	5464
321	2591	5457
322	2602	5454
323	2612	5449
324	2621	5444
325	2632	5441
326	2640	5434
327	2648	5426
328	2655	5415
329	2664	5409
330	2671	5399
331	2680	5393
332	2688	5384
333	2693	5370
334	2701	5361
335	2708	5352
336	2718	5347
337	2726	5339
338	2733	5329
339	2739	5317
340	2745	5306
341	2754	5298
342	2762	5290
343	2773	5288
344	2781	5281
345	2789	5272
346	2797	5264
347	2806	5258
348	2813	5247
349	2818	5233
350	2826	5226
351	2835	5220
352	2848	5220
353	2858	5216
354	2868	5212
355	2877	5204
356	2886	5198
357	2896	5194
358	2903	5184
359	2911	5175
360	2919	5168
361	2928	5161
362	2937	5153
363	2944	5143
364	2952	5137
365	2961	5129
366	2966	5117
367	2975	5110
368	2985	5104
369	2993	5096
370	3001	5089
371	3009	5081
372	3018	5074
373	3026	5065
374	3037	5061
