contract_number,county,num_counties,multi_county,work_type,project_description,project_length,project_length_unit,has_grading,has_drainage,has_bridge,has_retaining_wall,has_signals,has_guardrail,has_milling,has_widening,is_interstate,is_us_route,is_state_route
CNQ126,MEIGS,1,False,Bridge Work,THE REPAIR OF THE BRIDGE ON S.R. 58 OVER BIG SEWEE CREEK (L.M. 22.84).,0.0,MILES,False,False,True,False,False,False,False,False,False,False,True
CNS290,WEAKLEY,1,False,Bridge Work,THE REPAIR OF THE BRIDGE ON HYNDSVER ROAD (L.M. 1.82) OVER S.R. 22 IN MARTIN.,0.0,MILES,False,False,True,False,False,False,False,False,False,False,True
CNV300,CUMBERLAND AND FENTRESS,2,True,Bridge Work,"THE WIDENING ON U.S. 127 (S.R. 28) FROM NEAR NORTH LOWE ROAD IN CUMBERLAND COUNTY (L.M. 29.18) TO NORTH OF S.R. 62 IN FENTRESS COUNTY (L.M. 1.87), INCLUDING REPAIR OF THE BRIDGE AT L.M. 30.50 IN CUMBERLAND COUNTY.",3.262,MILES,False,False,True,False,False,False,False,True,False,True,True
CNT393,OBION,1,False,Bridge Work,THE REPAIR OF BRIDGES ON U.S. 45E (S.R. 43) OVER OVERFLOW (L.M. 0.18).,0.0,MILES,False,False,True,False,False,False,False,False,False,False,True
CNT398,RUTHERFORD,1,False,Bridge Work,"THE REPAIR OF BRIDGES ON U.S. 41 (U.S. 70S, S.R. 1) OVER OVERALL CREEK (L.M. 10.75) IN MURFREESBORO.",0.0,MILES,False,False,True,False,False,False,False,False,False,True,True
CNS292,RUTHERFORD,1,False,Bridge Work,THE REPAIR OF THE BRIDGE ON U.S. 41A (S.R. 16) OVER KELLY CREEK (L.M. 4.79).,0.0,MILES,False,False,True,False,False,False,False,False,False,False,True
CNT361,SUMNER,1,False,Bridge Work,THE REPAIR OF THE BRIDGES ON I-65 OVER CARTWRIGHT CIRCLE (L.M. 2.46) AND WILLIAMSON ROAD (L.M. 3.50).,0.0,MILES,False,False,True,False,False,False,False,False,True,False,False
CNS265,KNOX,1,False,Bridge Work,"THE REPAIR OF THE BRIDGE ON U.S. 25W (U.S. 70, S.R. 9) OVER S.R. 34 (L.M. 13.39).",0.0,MILES,False,False,True,False,False,False,False,False,False,True,True
CNT344,ANDERSON,1,False,Bridge Work,THE REPAIR OF THE BRIDGE ON S.R. 170 OVER BYRAMS FORK CREEK (L.M. 1.17).,0.0,MILES,False,False,True,False,False,False,False,False,False,False,True
CNS286,DAVIDSON,1,False,Bridge Work,THE REPAIR OF THE BRIDGE ON I-40 OVER 46TH AVENUE (L.M. 13.33).,0.0,MILES,False,False,True,False,False,False,False,False,True,False,False
CNS262,DAVIDSON,1,False,Bridge Work,THE REHABILITATION OF THE BRIDGE ON HILLWOOD BOULEVARD OVER THE C.S.X. RAILROAD AND RICHLAND CREEK (L.M. 0.09).,0.203,MILES,False,False,True,False,False,False,False,False,False,False,False
CNT343,GREENE,1,False,Bridge Work,THE REPAIR OF THE BRIDGE ON S.R. 107 OVER HORSE CREEK (L.M. 17.36).,0.0,MILES,False,False,True,False,False,False,False,False,False,False,True
CNS266,BLEDSOE,1,False,Bridge Work,THE REPAIR OF THE BRIDGE ON S.R. 101 OVER BEE CREEK (L.M. 8.98).,0.0,MILES,False,False,True,False,False,False,False,False,False,False,True
PD2403,CARTER,1,False,Bridge Work,THE EMERGENCY BRIDGE REPAIR OVER THE DOE RIVER ON S.R. 67 (L.M. 7.1) IN CARTER COUNTY.,0.0,MILES,False,False,True,False,False,False,False,False,False,False,True
CNV142,CLAIBORNE,1,False,Bridge Work,THE REPAIR OF THE BRIDGE ON U.S. 25E (S.R. 32) OVER THE POWELL RIVER (L.M. 15.96).,0.0,MILES,False,False,True,False,False,False,False,False,False,False,True
CNT296,WILSON,1,False,Bridge Work,THE REPAIR OF BRIDGES ON U.S. 231 (S.R. 10) OVER SPRING CREEK (L.M. 19.48) AND THE CUMBERLAND RIVER (L.M. 20.91).,0.0,MILES,False,False,True,False,False,False,False,False,False,True,True
CNT340,WILSON,1,False,Bridge Work,THE REPAIR OF THE BRIDGE ON S.R. 96 OVER SMITH FORK CREEK (L.M. 2.91).,0.0,MILES,False,False,True,False,False,False,False,False,False,False,True
CNV150,DAVIDSON,1,False,Bridge Work,THE REPAIR OF THE BRIDGE ON S.R. 155 OVER THE CUMBERLAND RIVER (COCKRILL BEND) (L.M. 24.86).,0.396,MILES,False,False,True,False,False,False,False,False,False,False,True
