contract_number,county,project_description,project_length,project_length_unit
CNW223,"BRADLEY, CANNON, COFFEE, CUMBERLAND, FRANKLIN, GRUNDY, MCMINN, MEIGS, POLK, PUTNAM, AND WARREN",THE CRACK SEALING AT VARIOUS LOCATIONS ON VARIOUS STATE ROUTES.,0,MILES
CNW229,CANNON,THE INSTALLATION OF A FLASHING BEACON ON U.S. 70S (S.R. 1) AT THE INTERSECTION OF S.R. 281 (CENTER HILL ROAD) (L.M. 12.37).,0.113,MILES
CNW227,CARROLL,THE RESURFACING WITH DOUBLE BITUMINOUS SEAL COAT (DBST) ON S.R. 104 FROM THE GIBSON COUNTY LINE (L.M. 0.00) TO NEAR S.R. 220 (L.M. 3.16).,3.16,MILES
CNW236,CLAY,"THE INSTALLATION OF A NEW 40' X 40' COVERED SALT BIN, ROOF ONLY, LOCATED AT 6385 CLAY COUNTY HIGHWAY.",0,MILES
CNW210,CROCKETT,"THE RESURFACING ON S.R. 88 FROM THE LAUDERDALE COUNTY LINE (L.M. 0.00) TO NEAR JENNINGS ROAD (L.M. 7.06), INCLUDING BRIDGE EXPANSION JOINT REPAIR.",7.06,MILES
CNW231,CUMBERLAND,"THE GRADING, DRAINAGE, SIGNALS AND PAVING ON U.S. 127 (S.R. 28) FROM S.R. 68 TO SOUTH OF THE BRIDGE OVER BYRD'S CREEK (L.M. 9.70 - L.M. 10.57).",1.392,MILES
CNW237,CUMBERLAND,THE REPAIR OF THE BRIDGES ON U.S. 127S (S.R. 28) OVER THE LITTLE OBED RIVER (L.M. 15.96).,0.081,MILES
CNW238,CUMBERLAND,"THE INSTALLATION OF A NEW 40' X 80' COVERED SALT BIN, ROOF ONLY, LOCATED AT I-40 EASTBOUND MILE MARKER 306.6.",0,MILES
CNW226,DAVIDSON,"THE IMPROVEMENT OF THE INTERSECTION ON S.R. 45 (OLD HICKORY BOULEVARD) AT S.R. 265 (CENTRAL PIKE) (L.M. 17.69), INCLUDING GRADING, DRAINAGE, PAVING, RETAINING WALL AND SIGNALS.",0.103,MILES
CNW208,DAVIDSON,"THE RESURFACING ON U.S. 431 (S.R. 65) FROM U.S. 41 (S.R. 11, DICKERSON PIKE) (L.M. 0.00) TO SOUTH OF SEYMOUR HOLLOW ROAD (L.M. 8.24).",8.24,MILES
CNW207,DAVIDSON,THE REPAIR OF BRIDGES (L&R) ON I-40 OVER FAIRFIELD AVENUE (L.M. 19.72).,0,MILES
CNW230,FAYETTE,THE RESURFACING ON S.R. 76 FROM S.R. 59 (L.M. 15.29) TO NORTH OF BIG MUDDY CREEK (L.M. 20.35).,5.06,MILES
CNW220,FRANKLIN,THE REPAIR OF THE BRIDGE ON S.R. 50 OVER THE ELK RIVER (L.M. 1.57).,0,MILES
CNW213,HAMILTON,"THE RESURFACING ON S.R. 17 FROM THE GEORGIA STATE LINE (L.M. 0.00) TO U.S. 11 (U.S. 64, U.S. 72, S.R. 2) (L.M. 2.22).",2.22,MILES
CNW001,HAMILTON,"THE GRADING, DRAINAGE, CONSTRUCTION OF RETAINING WALLS AND PAVING ON U.S. 127 (S.R. 8) FROM NEAR PALISADES ROAD (L.M. 15.20) TO NEAR SUNSET DRIVE (L.M. 15.44).",0.26,MILES
CNW209,HENRY,THE RESURFACING WITH HOT IN-PLACE RECYCLING ON U.S. 79 (S.R. 76) FROM THE CARROLL COUNTY LINE (L.M. 0.00) TO WEST OF OLD MCKENZIE HIGHWAY (L.M. 11.29).,11.29,MILES
CNW206,HENRY,THE CONSTRUCTION OF A TDOT MAINTENANCE BUILDING AT 1159 OLD MCKENZIE HIGHWAY IN PARIS.,0,MILES
CNW211,HICKMAN,"THE GRADING, DRAINAGE AND PAVING ON A S.I.A. ROUTE SERVING FARMER'S FRIENDS IN CENTERVILLE.",0.237,MILES
CNW235,JACKSON,"THE INSTALLATION OF A NEW 40' X 60' COVERED SALT BIN, ROOF ONLY, LOCATED AT 2636 SOUTH GRUNDY QUARLES HIGHWAY IN GAINESBORO.",0,MILES
CNW239,JEFFERSON,THE CONSTRUCTION OF A T.D.O.T. MAINTENANCE BUILDING AT 822 OLD HIGHWAY 92 IN DANDRIDGE.,0,MILES
CNW134,MADISON,"THE GRADING, DRAINAGE, CONSTRUCTION OF BRIDGES, RETAINING AND NOISE WALLS, ITS AND PAVING ON I-40 FROM WEST OF U.S. 412 (S.R. 20, HOLLYWOOD DRIVE) TO WEST OF THE U.S. 45 BYPASS (S.R. 186) (L.M. 11.33 - L.M. 12.95).",1.252,MILES
CNW222,MARION,"THE RESURFACING ON U.S. 41 (U.S. 64, U.S 72, S.R. 2) FROM WEST OF SPANGLER ROAD (L.M. 17.38) TO EAST OF MARION COUNTY PARK ROAD (L.M. 20.71).",3.33,MILES
CNW221,MCNAIRY,THE RESURFACING ON S.R. 224 FROM S.R. 22 (L.M. 0.00) TO S.R. 142 (L.M. 7.64).,7.64,MILES
