contract_number,county,num_counties,multi_county,work_type,road_type,project_description,project_length,project_length_unit,has_grading,has_drainage,has_bridge,has_retaining_wall,has_paving,has_guardrail,has_signs,has_lighting,has_signals,has_pavement_marking,has_barrier,has_concrete,has_mowing,has_chip_seal,has_crack_seal,is_on_call,is_emergency
CNP294,WILLIAMSON,1,0,Bridge Work,State,"The repair of the bridges on S.R. 840 over Boston-Theta Road (L.M. 13.58 and L.M. 13.60), and over Sycamore Creek (L.M. 15.94).",0.506,MILES,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CNT110,WHITE,1,0,Bridge Work,US,THE REPAIR OF THE BRIDGE ON U.S. 70 (S.R. 1) OVER THE CALFKILLER RIVER (L.M. 9.35) IN SPARTA.,0.0,MILES,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CNU145,CUMBERLAND,1,0,Bridge Work,Interstate,THE REPAIR OF THE BRIDGES ON I-40 OVER U.S. 70 (S.R. 1) (L.M. 24.15).,0.0,MILES,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CNY243,CAMPBELL,1,0,Bridge Work,Interstate,THE REPAIR OF THE BRIDGES ON I-75 OVER BETTER CHANEE ROAD AND THE RJ CORMAN RAILROAD (L.M. 2.68).,0.0,MILES,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CNS911,CAMPBELL,1,0,Bridge Work,State,THE REPAIR OF THE BRIDGE ON S.R. 90 OVER CLEAR FORK CREEK (L.M. 5.97).,0.0,MILES,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CNY188,CHESTER,1,0,Bridge Work,State,"THE CONSTRUCTION OF A CONCRETE BULB-TEE BEAM BRIDGE ON S.R. 100 OVER THE SOUTH FORK FORKED DEER RIVER (L.M. 14.16), AND A CONCRETE I-BEAM BRIDGE OVER DRY BRANCH (L.M. 16.03), INCLUDING GRADING, DRAINAGE, AND PAVING.",0.914,MILES,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
CNY251,COFFEE,1,0,Bridge Work,Other,"THE CONSTRUCTION OF A STEEL BRIDGE ON CAMPGROUND LANE OVER THE DUCK RIVER IN OLD STONE FORT STATE PARK, INCLUDING GRADING, DRAINAGE, RELOCATION OF A TRUSS BRIDGE, AND PAVING.",1.302,MILES,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
CNZ140,POLK,1,0,Bridge Work,Other,"THE CONSTRUCTION OF A CONCRETE BULB-TEE BEAM BRIDGE ON EASLEY FORD ROAD OVER THE CONASAUGA RIVER (L.M. 1.53), INCLUDING GRADING, DRAINAGE, AND PAVING.",0.228,MILES,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
CNY164,MONROE,1,0,Bridge Work,US,THE REPAIR OF THE BRIDGE ON U.S. 411 (S.R. 33) OVER THE LITTLE TENNESSEE RIVER (L.M. 16.68).,0.0,MILES,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CNU333,DAVIDSON,1,0,Bridge Work,Interstate,THE REPAIR OF THE BRIDGE ON I-65 OVER WEDGEWOOD AVENUE (L.M. 7.27).,0.0,MILES,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CNU287,DAVIDSON,1,0,Bridge Work,Interstate,THE REPAIR OF BRIDGES ON I-40 OVER THE STONES RIVER (L.M. 28.01) AND ON S.R. 171 OVER THE STONES RIVER (L.M. 5.88).,0.0,MILES,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CNY224,FRANKLIN,1,0,Bridge Work,Other,"THE CONSTRUCTION OF A CONCRETE I-BEAM BRIDGE ON CROWNOVER ROAD OVER CROW CREEK (L.M. 0.19), INCLUDING GRADING, DRAINAGE, AND PAVING.",0.138,MILES,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
CNU307,DYER,1,0,Bridge Work,US,THE REPAIR OF THE BRIDGE ON U.S. 412 (S.R. 20) OVER HOGWALLOW ROAD (L.M. 1.27).,0.0,MILES,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CNU080,HUMPHREYS,1,0,Bridge Work,US,THE REPAIR OF THE BRIDGES ON U.S. 70 (S.R. 1) OVER TRACE CREEK (L.M. 5.94).,0.218,MILES,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CNZ213,HAWKINS,1,0,Bridge Work,State,"THE CONSTRUCTION OF A CONCRETE BOX BEAM BRIDGE ON S.R. 70 OVER THE NORFOLK SOUTHERN RAILROAD (L.M. 6.19), INCLUDING GRADING, DRAINAGE, RETAINING WALL, AND PAVING.",0.312,MILES,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
CNZ227,FAYETTE,1,0,Bridge Work,Interstate,THE REPAIR OF BRIDGES ON I-269 OVER S.R. 57 (L.M. 1.23).,0.0,MILES,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CNZ206,CUMBERLAND,1,0,Bridge Work,State,"THE CONSTRUCTION OF A CONCRETE BULB-TEE BEAM BRIDGE ON U.S. 70N (S.R. 24) OVER THE OBED RIVER (L.M. 15.37) IN CROSSVILLE, INCLUDING GRADING, DRAINAGE, AND PAVING.",0.201,MILES,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
CNU198,CLAY,1,0,Bridge Work,State,THE REPAIR OF THE BRIDGES ON S.R. 53 OVER DRY FORK CREEK (L.M. 1.35) AND MILL CREEK (L.M. 2.50).,0.0,MILES,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CNY063,MARION,1,0,Bridge Work,State,THE REPAIR OF THE BRIDGE ON S.R. 156 OVER THE TENNESSEE RIVER (L.M. 15.19).,0.0,MILES,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
