county,count,mean_price,median_price
DAVIDSON,5943,1536.5576728924786,40.0
KNOX,3353,811.0330778407397,29.25
RUTHERFORD,3328,1622.5850570913462,35.0
SHELBY,3323,1707.7164580198616,50.0
ANDERSON,3106,659.9845621377979,35.0
BEDFORD,2882,775.0230083275503,30.0
WILLIAMSON,2871,1656.583399512365,35.0
HAMILTON,2685,1593.8092141527002,30.5
BRADLEY,2274,938.221125769569,31.689999999999998
MAURY,1954,1315.957466734903,36.0
MONTGOMERY,1915,1323.2647624020888,35.0
BENTON,1854,852.1798813376483,30.0
CUMBERLAND,1656,1062.1738586956521,28.645
BLEDSOE,1656,621.3901026570048,29.884999999999998
ROBERTSON,1655,1363.8520362537765,40.04
SUMNER,1535,1514.8601172638434,41.24
PUTNAM,1392,1163.2297701149425,34.735
WILSON,1331,1226.6917580766342,39.0
DICKSON,1214,1355.2706177924217,38.56
BLOUNT,1179,726.6919592875317,38.5
SULLIVAN,1170,1046.2781196581195,31.75
MADISON,1147,1299.757114210985,35.0
CAMPBELL,1134,1085.3572398589067,33.595
LOUDON,1035,1311.9073140096618,32.0
COFFEE,977,1866.3963357215966,35.72
CHEATHAM,950,1618.157242105263,35.0
ROANE,925,993.7340432432433,37.0
FRANKLIN,917,1572.9388767720827,40.0
DEKALB,902,787.299490022173,27.175
FAYETTE,887,1863.585332581736,43.61
MCMINN,874,890.5633409610983,28.0
CARROLL,871,1515.5445809414466,45.0
MARION,844,1303.4033530805686,35.0
MARSHALL,803,1454.7146077210461,35.0
OVERTON,779,892.17459563543,32.09
GILES,689,1524.5677939042089,37.0
CANNON,677,734.9657311669129,28.0
WHITE,674,822.1040949554897,28.0
JEFFERSON,657,865.2724657534246,30.0
SEVIER,656,989.7571189024391,30.0
WASHINGTON,651,1003.9147465437788,43.5
LAWRENCE,636,1276.824103773585,35.0
LINCOLN,632,1446.5946044303798,35.5
HENDERSON,600,1345.5723166666667,35.44
OBION,585,1269.8955555555556,40.0
HICKMAN,583,1694.4079416809604,45.0
MONROE,565,1530.416831858407,38.0
HAMBLEN,565,1653.042318584071,84.0
CLAY,561,881.6779679144386,26.0
GRUNDY,549,810.6730236794172,31.0
HAWKINS,535,1103.7207289719624,28.0
HUMPHREYS,532,2419.201165413534,50.0
FENTRESS,529,1407.1415311909263,45.0
GREENE,525,1265.6977142857145,50.0
CARTER,511,1252.183346379648,39.5
POLK,510,1412.1133333333335,36.0
MACON,507,987.5736686390532,32.0
RHEA,504,1250.4213293650794,29.62
COCKE,492,1074.2549593495935,46.425
JACKSON,489,1340.7762576687117,42.25
HARDIN,484,1483.6751652892563,42.0
MORGAN,471,824.8026751592357,30.0
HENRY,456,1047.7525219298245,35.0
SMITH,453,1972.1159602649007,90.0
WARREN,440,1446.421340909091,42.055
CLAIBORNE,428,872.0622897196263,32.0
GRAINGER,427,602.638243559719,26.0
CHESTER,425,1174.9349647058823,50.0
PERRY,412,1829.7169174757282,42.525
DECATUR,411,1785.6481508515815,33.0
UNION,408,552.3275980392157,24.15
WEAKLEY,407,1387.786511056511,43.0
HAYWOOD,407,1390.8263144963146,39.0
CROCKETT,399,1374.3919548872182,40.0
SCOTT,385,886.8545454545455,31.0
GIBSON,383,1348.5550391644908,45.0
DYER,374,1814.7623529411765,100.0
MEIGS,335,1183.630656716418,55.75
TIPTON,334,1976.6654491017964,68.25
MCNAIRY,327,1655.2050458715598,45.0
WAYNE,316,1761.1281329113924,41.0
PICKETT,311,744.7872347266881,26.5
HARDEMAN,310,1243.9185161290322,39.0
LEWIS,303,1301.4361386138614,35.0
TROUSDALE,287,1176.8733449477352,50.0
LAUDERDALE,285,1975.4324912280701,45.0
STEWART,243,1333.9107407407407,32.0
VAN BUREN,239,920.899079497908,24.0
HANCOCK,220,803.9097727272728,35.0
UNICOI,219,1243.4482648401827,28.8
JOHNSON,195,953.0282051282052,35.0
HOUSTON,182,1926.7320329670329,33.33
LAKE,153,1862.5643790849672,450.0
SEQUATCHIE,140,940.7122142857143,28.28
MOORE,88,3539.915681818182,57.5
