item_no,description,unit,count
717-01.00,MOBILIZATION,LS,11274
712-01.00,TRAFFIC CONTROL,LS,10775
712-06.00,SIGNS (CONSTRUCTION),S.F.,9080
716-02.05,PLASTIC PAVEMENT MARKING (STOP LINE),L.F.,7380
712-04.01,FLEXIBLE DRUMS (CHANNELIZING),EACH,7046
403-01.00,BITUMINOUS MATERIAL FOR TACK COAT (TC),TON,6719
716-12.02,ENHANCED FLATLINE THERMO  PVMT MRKNG (6IN LINE),L.M.,5763
303-01.00,"MINERAL AGGREGATE, TYPE A BASE, GRADING D",TON,5749
716-01.21,SNOWPLOWABLE RAISED PAVEMENT MARKERS (BI-DIR) (1 COLOR),EACH,5716
712-08.03,ARROW BOARD (TYPE C),EACH,4709
716-02.06,PLASTIC PAVEMENT MARKING (TURN LANE ARROW),EACH,4553
716-02.04,PLASTIC PAVEMENT MARKING(CHANNELIZATION STRIPING),S.Y.,4273
712-05.01,WARNING LIGHTS (TYPE A),EACH,4176
716-05.01,PAINTED PAVEMENT MARKING (4 LINE),L.M.,3861
713-16.01,CHANGEABLE MESSAGE SIGN UNIT,EACH,3832
411-01.10,ACS MIX(PG64-22) GRADING D,TON,3735
307-01.08,ASPHALT CONCRETE MIX (PG64-22) (BPMB-HM) GRADING B-M2,TON,3418
716-01.30,REMOVAL OF SNOWPLOWABLE REFLECTIVE MARKER,EACH,3340
706-01.00,GUARDRAIL REMOVED,L.F.,3229
415-01.01,COLD PLANING BITUMINOUS PAVEMENT,TON,3157
105-01.00,"CONSTRUCTION STAKES, LINES AND GRADES",LS,3156
801-03.00,WATER (SEEDING & SODDING),M.G.,2956
712-02.02,INTERCONNECTED PORTABLE BARRIER RAIL,L.F.,2933
716-01.22,SNOWPLOWABLE RAISED PAVMENT MARKERS (MONO-DIR)(1 COLOR),EACH,2911
716-05.20,PAINTED PAVEMENT MARKING (6 LINE),L.M.,2893
713-13.03,FLAT SHEET ALUMINUM SIGNS (0.100 THICK),S.F.,2861
415-01.02,COLD PLANING BITUMINOUS PAVEMENT,S.Y.,2858
713-13.02,FLAT SHEET ALUMINUM SIGNS (0.080 THICK),S.F.,2829
209-05.00,SEDIMENT REMOVAL,C.Y.,2825
713-11.02,PERFORATED/KNOCKOUT SQUARE TUBE POST,LB.,2823
203-01.00,ROAD & DRAINAGE EXCAVATION (UNCLASSIFIED),C.Y.,2787
402-01.00,BITUMINOUS MATERIAL FOR PRIME COAT (PC),TON,2784
209-08.02,TEMPORARY SILT FENCE (WITH BACKING),L.F.,2739
716-01.23,SNOWPLOWABLE RAISED PAVEMENT MARKERS (BI-DIR)(2 COLOR),EACH,2696
203-06.00,WATER,M.G.,2635
740-10.03,GEOTEXTILE (TYPE III)(EROSION CONTROL),S.Y.,2631
201-01.00,CLEARING AND GRUBBING,LS,2595
705-06.20,TANGENT ENERGY ABSORBING TERM MASH TL-3,EACH,2534
716-13.01,SPRAY THERMO PVMT MRKNG (60 mil) (4IN LINE),L.M.,2522
208-01.05,BROOMING & DEGRASSING SHOULDERS,L.M.,2508
712-07.03,TEMPORARY BARRICADES (TYPE III),L.F.,2501
709-05.05,MACHINED RIP-RAP (CLASS A-3),TON,2437
411-02.10,ACS MIX(PG70-22) GRADING D,TON,2423
803-01.00,SODDING (NEW SOD),S.Y.,2326
303-10.01,MINERAL AGGREGATE (SIZE 57),TON,2305
402-02.00,AGGREGATE FOR COVER MATERIAL (PC),TON,2198
209-08.08,ENHANCED ROCK CHECK DAM,EACH,2160
713-11.01,U SECTION STEEL POSTS,LB.,2145
709-05.06,MACHINED RIP-RAP (CLASS A-1),TON,2069
307-01.01,ASPHALT CONCRETE MIX (PG64-22) (BPMB-HM) GRADING A,TON,2003
801-01.07,TEMPORARY SEEDING (WITH MULCH),UNIT,1938
707-08.11,HIGH-VISIBILITY CONSTRUCTION FENCE,L.F.,1924
