item_no,description,unit
716-01.05,TEMPORARY RAISED PAVEMENT MARKER,EACH
716-01.06,"TEMPORARY RAISED PAVEMENT MARKER,WHITE",EACH
716-01.07,"TEMPORARY RAISED PAVEMENT MARKER,YELLOW",EACH
716-01.10,SNOWPLOWABLE REFLECTIVE MARKER,EACH
716-01.11,RAISED PVMT MARKERS (BI-DIRECTIONAL) (1 COLOR LENS),EACH
716-01.12,RAISED PVMT MARKERS (MONO-DIRECTIONAL) (1 COLOR LENS),EACH
716-01.13,RAISED PVMT MARKERS (BI-DIRECTIONAL) (2 COLOR LENS),EACH
716-01.14,RAISED PAVEMENT MARKER REMOVAL,EACH
716-01.21,SNOWPLOWABLE RAISED PAVEMENT MARKERS (BI-DIR) (1 COLOR),EACH
716-01.22,SNOWPLOWABLE RAISED PAVMENT MARKERS (MONO-DIR)(1 COLOR),EACH
716-01.23,SNOWPLOWABLE RAISED PAVEMENT MARKERS (BI-DIR)(2 COLOR),EACH
716-01.30,REMOVAL OF SNOWPLOWABLE REFLECTIVE MARKER,EACH
716-01.40,REMOVE AND REPLACE LENS ON SNOWPLOWABLE REFLECTIVE MARKER,EACH
716-01.99,ROUND RAISED PAVEMENT MARKER,EACH
716-02.01,PLASTIC PAVEMENT MARKING (100mm LINE),km
716-02.02,PLASTIC PAVEMENT MARKING (200mm BARRIER LINE),m
716-02.03,PLASTIC PAVEMENT MARKING (CROSS-WALK),L.F.
716-02.04,PLASTIC PAVEMENT MARKING(CHANNELIZATION STRIPING),S.Y.
716-02.05,PLASTIC PAVEMENT MARKING (STOP LINE),L.F.
716-02.06,PLASTIC PAVEMENT MARKING (TURN LANE ARROW),EACH
716-02.07,PLASTIC PAVEMENT MARKING (24 BARRIER LINE),L.F.
716-02.08,PLASTIC PAVEMENT MARKING (8 DOTTED LINE),L.F.
716-02.09,PLASTIC PAVEMENT MARKING (LONGITUDINAL CROSS-WALK),L.F.
716-02.10,PLASTIC PAVEMENT MARKING (150mm LINE),km
716-02.11,PLASTIC PAVEMENT MARKING (6 DOTTED LINE),L.F.
716-02.12,PLASTIC PAVEMENT MARKING (8IN LINE),L.M.
716-02.13,PLASTIC PAVEMENT MARKING (CROSSWALK),S.F.
716-02.15,PLASTIC PAVEMENT MARKING (U TURN ARROW),EACH
716-02.22,PLASTIC AERIAL SPEED BARS,L.F.
716-02.23,PLASTIC PAVEMENT MARKING (12IN BARRIER LINE),L.F.
716-02.24,PLASTIC PAVEMENT MARKING (12IN DWL),L.F.
716-02.31,RETRACING PAVEMENT MARKINGS - PLASTIC (8 BARRIER LINE),L.F.
716-02.32,RETRACING PAVEMENT MARKINGS - PLASTIC (6 LINE),L.M.
716-03.01,PLASTIC WORD PAVEMENT MARKING (ONLY),EACH
716-03.02,PLASTIC WORD PAVEMENT MARKING (RXR),EACH
716-03.03,PLASTIC WORD PAVEMENT MARKING (STOP AHEAD),EACH
716-03.04,PLASTIC WORD PAVEMENT MARKING (SCHOOL),EACH
716-03.05,PLASTIC WORD PAVEMENT MARKING (BIKE LANE),EACH
716-03.06,PLASTIC WORD PAVEMENT MARKING (SIGNAL AHEAD),EACH
716-03.07,PLASTIC WORD PAVEMENT MARKING (STOP),EACH
716-03.08,PLASTIC WORD PAVEMENT MARKING (PED-XING),EACH
716-03.09,PLASTIC WORD PAVEMENT MARKING (                      ),EACH
716-03.10,PLASTIC WORD PAVEMENT MARKING (                      ),EACH
716-03.11,PLASTIC WORD PAVEMENT MARKING (                      ),EACH
716-03.12,PLASTIC PVMT MARKING (DESCRIPTION),EACH
716-03.13,PLASTIC PVMT MARKING (NO TRUCKS THIS LANE),EACH
716-04.01,PLASTIC PAVEMENT MARKING (STRAIGHT-TURN ARROW),EACH
716-04.02,PLASTIC PAVEMENT MARKING(DOUBLE TURNING ARROW),EACH
716-04.03,PLASTIC PAVEMENT MARKING (4 DOTTED LINE),L.F.
716-04.04,PLASTIC PAVEMENT MARKING (TRANSVERSE SHOULDER),L.F.
716-04.05,PLASTIC PAVEMENT MARKING (STRAIGHT ARROW),EACH
716-04.06,PLASTIC PAVEMENT MARKING (WRONG WAY ARROW),EACH
716-04.07,PLASTIC PAVEMENT MARKING (EXIT ONLY ARROW),EACH
716-04.08,PLASTIC PAVEMENT MARKING (OPTION LANE ARROW),EACH
716-04.09,PLASTIC PAVEMENT MARKING (H.O.V. DIAMOND),EACH
716-04.10,PLASTIC PAVEMENT MARKING (HANDICAP SYMBOL),EACH
716-04.11,PLASTIC PAVEMENT MARKING (BICYCLE SYMBOL W/RIDER),EACH
716-04.12,PLASTIC PAVEMENT MARKING (YIELD LINE),S.F.
716-04.13,PLASTIC PAVEMENT MARKING (BIKELANE SYMBOL & ARROW),EACH
716-04.14,PLASTIC PAVEMENT MARKING (LANE REDUCTION ARROW),EACH
716-04.15,PLASTIC PAVEMENT MARKING-BIKE SYMBOL/ARROW SHARED,EACH
716-04.16,PLASTIC PAVEMENT MARKING (NOISE STRIP),L.F.
716-04.17,PLASTIC PAVEMENT MARKING (YIELD SYMBOL),EACH
716-04.18,PLASTIC PAVEMENT MARKING (BIKE/XING),EACH
716-04.21,GREEN TEXTURED BIKE LANE,S.Y.
