item_no,description,unit,description_expanded,item_class,item_type
716-01.05,TEMPORARY RAISED PAVEMENT MARKER,EACH,TEMPORARY RAISED PAVEMENT MARKER,Pavement Marking,Pavement Marking Misc.
716-01.06,"TEMPORARY RAISED PAVEMENT MARKER,WHITE",EACH,"TEMPORARY RAISED PAVEMENT MARKER,WHITE",Pavement Marking,Pavement Marking Misc.
716-01.07,"TEMPORARY RAISED PAVEMENT MARKER,YELLOW",EACH,"TEMPORARY RAISED PAVEMENT MARKER,YELLOW",Pavement Marking,Pavement Marking Misc.
716-01.10,SNOWPLOWABLE REFLECTIVE MARKER,EACH,SNOWPLOWABLE REFLECTIVE MARKER,,Pavement Marking Misc.
716-01.11,RAISED PVMT MARKERS (BI-DIRECTIONAL) (1 COLOR LENS),EACH,RAISED PAVEMENT MARKERS (BI-DIRECTIONAL) (1 COLOR LENS),Pavement Marking,Pavement Marking Misc.
716-01.12,RAISED PVMT MARKERS (MONO-DIRECTIONAL) (1 COLOR LENS),EACH,RAISED PAVEMENT MARKERS (MONO-DIRECTIONAL) (1 COLOR LENS),Pavement Marking,Pavement Marking Misc.
716-01.13,RAISED PVMT MARKERS (BI-DIRECTIONAL) (2 COLOR LENS),EACH,RAISED PAVEMENT MARKERS (BI-DIRECTIONAL) (2 COLOR LENS),Pavement Marking,Pavement Marking Misc.
716-01.14,RAISED PAVEMENT MARKER REMOVAL,EACH,RAISED PAVEMENT MARKER REMOVAL,Pavement Marking,Pavement Marking Misc.
716-01.21,SNOWPLOWABLE RAISED PAVEMENT MARKERS (BI-DIR) (1 COLOR),EACH,SNOWPLOWABLE RAISED PAVEMENT MARKERS (BI-DIRECTIONAL) (1 COLOR),Pavement Marking,Pavement Marking Misc.
716-01.22,SNOWPLOWABLE RAISED PAVMENT MARKERS (MONO-DIR)(1 COLOR),EACH,SNOWPLOWABLE RAISED PAVMENT MARKERS (MONO-DIRECTIONAL)(1 COLOR),Pavement Marking,Pavement Marking Misc.
716-01.23,SNOWPLOWABLE RAISED PAVEMENT MARKERS (BI-DIR)(2 COLOR),EACH,SNOWPLOWABLE RAISED PAVEMENT MARKERS (BI-DIRECTIONAL)(2 COLOR),Pavement Marking,Pavement Marking Misc.
716-01.30,REMOVAL OF SNOWPLOWABLE REFLECTIVE MARKER,EACH,REMOVAL OF SNOWPLOWABLE REFLECTIVE MARKER,Pavement Marking,Pavement Marking Misc.
716-01.40,REMOVE AND REPLACE LENS ON SNOWPLOWABLE REFLECTIVE MARKER,EACH,REMOVE AND REPLACE LENS ON SNOWPLOWABLE REFLECTIVE MARKER,Pavement Marking,Pavement Marking Misc.
716-01.99,ROUND RAISED PAVEMENT MARKER,EACH,ROUND RAISED PAVEMENT MARKER,,Pavement Marking Misc.
716-02.01,PLASTIC PAVEMENT MARKING (100mm LINE),km,PLASTIC PAVEMENT MARKING (100mm LINE),,Plastic-Thermal
716-02.02,PLASTIC PAVEMENT MARKING (200mm BARRIER LINE),m,PLASTIC PAVEMENT MARKING (200mm BARRIER LINE),,Plastic-Thermal
716-02.03,PLASTIC PAVEMENT MARKING (CROSS-WALK),L.F.,PLASTIC PAVEMENT MARKING (CROSS-WALK),Pavement Marking,Plastic-Thermal
716-02.04,PLASTIC PAVEMENT MARKING(CHANNELIZATION STRIPING),S.Y.,PLASTIC PAVEMENT MARKING(CHANNELIZATION STRIPING),Pavement Marking,Plastic-Thermal
716-02.05,PLASTIC PAVEMENT MARKING (STOP LINE),L.F.,PLASTIC PAVEMENT MARKING (STOP LINE),Pavement Marking,Plastic-Thermal
716-02.06,PLASTIC PAVEMENT MARKING (TURN LANE ARROW),EACH,PLASTIC PAVEMENT MARKING (TURN LANE ARROW),Pavement Marking,Plastic-Thermal
716-02.07,PLASTIC PAVEMENT MARKING (24 BARRIER LINE),L.F.,PLASTIC PAVEMENT MARKING (24 BARRIER LINE),Pavement Marking,Plastic-Thermal
716-02.08,PLASTIC PAVEMENT MARKING (8 DOTTED LINE),L.F.,PLASTIC PAVEMENT MARKING (8 DOTTED LINE),Pavement Marking,Plastic-Thermal
716-02.09,PLASTIC PAVEMENT MARKING (LONGITUDINAL CROSS-WALK),L.F.,PLASTIC PAVEMENT MARKING (LONGITUDINAL CROSS-WALK),Pavement Marking,Plastic-Thermal
716-02.10,PLASTIC PAVEMENT MARKING (150mm LINE),km,PLASTIC PAVEMENT MARKING (150mm LINE),,Plastic-Thermal
716-02.11,PLASTIC PAVEMENT MARKING (6 DOTTED LINE),L.F.,PLASTIC PAVEMENT MARKING (6 DOTTED LINE),Pavement Marking,Plastic-Thermal
716-02.12,PLASTIC PAVEMENT MARKING (8IN LINE),L.M.,PLASTIC PAVEMENT MARKING (8IN LINE),Pavement Marking,Plastic-Thermal
716-02.13,PLASTIC PAVEMENT MARKING (CROSSWALK),S.F.,PLASTIC PAVEMENT MARKING (CROSSWALK),,Plastic-Thermal
716-02.15,PLASTIC PAVEMENT MARKING (U TURN ARROW),EACH,PLASTIC PAVEMENT MARKING (U TURN ARROW),Pavement Marking,Plastic-Thermal
716-02.22,PLASTIC AERIAL SPEED BARS,L.F.,PLASTIC AERIAL SPEED BARS,Pavement Marking,Plastic-Thermal
716-02.23,PLASTIC PAVEMENT MARKING (12IN BARRIER LINE),L.F.,PLASTIC PAVEMENT MARKING (12IN BARRIER LINE),Pavement Marking,Plastic-Thermal
716-02.24,PLASTIC PAVEMENT MARKING (12IN DWL),L.F.,PLASTIC PAVEMENT MARKING (12IN DWL),Pavement Marking,Plastic-Thermal
716-02.31,RETRACING PAVEMENT MARKINGS - PLASTIC (8 BARRIER LINE),L.F.,RETRACING PAVEMENT MARKINGS - PLASTIC (8 BARRIER LINE),Pavement Marking,Painted
716-02.32,RETRACING PAVEMENT MARKINGS - PLASTIC (6 LINE),L.M.,RETRACING PAVEMENT MARKINGS - PLASTIC (6 LINE),Pavement Marking,Painted
716-03.01,PLASTIC WORD PAVEMENT MARKING (ONLY),EACH,PLASTIC WORD PAVEMENT MARKING (ONLY),Pavement Marking,Plastic-Thermal
716-03.02,PLASTIC WORD PAVEMENT MARKING (RXR),EACH,PLASTIC WORD PAVEMENT MARKING (RXR),Pavement Marking,Plastic-Thermal
716-03.03,PLASTIC WORD PAVEMENT MARKING (STOP AHEAD),EACH,PLASTIC WORD PAVEMENT MARKING (STOP AHEAD),Pavement Marking,Plastic-Thermal
716-03.04,PLASTIC WORD PAVEMENT MARKING (SCHOOL),EACH,PLASTIC WORD PAVEMENT MARKING (SCHOOL),Pavement Marking,Plastic-Thermal
