contract_number,county,num_counties,multi_county,work_type,road_type,project_description,project_length,project_length_unit,has_grading,has_drainage,has_bridge,has_retaining_wall,has_paving,has_guardrail,has_signs,has_lighting,has_signals,has_pavement_marking,has_barrier,has_concrete,has_mowing,has_chip_seal,has_crack_seal
CNU075,"BLEDSOE, BRADLEY, CANNON, CLAY, COFFEE, CUMBERLAND, DEKALB, FENTRESS, FRANKLIN, GRUNDY, HAMILTON, JACKSON,
MARION, MCMINN, MEIGS, OVERTON, PICKETT, POLK, PUTNAM, RHEA, SEQUATCHIE, VAN BUREN, WARREN, AND WHITE",24,1,Pavement Marking,Other,THE RETRACING OF PAVEMENT MARKINGS WITH SPRAY THERMOPLASTIC AND RANDOM ON-CALL PAVEMENT MARKING ON VARIOUS INTERSTATE AND STATE ROUTES.,0.0,MILES,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
CNR054,"ANDERSON, BLOUNT, CAMPBELL, CARTER, CLAIBORNE, COCKE, GRAINGER, GREENE, HAMBLEN, HANCOCK, HAWKINS,
JEFFERSON, JOHNSON, KNOX, LOUDON, MONROE, MORGAN, ROANE, SCOTT, SEVIER, SULLIVAN, UNICOI, UNION, AND WASHINGTON",24,1,Pavement Marking,Other,THE RETRACING OF PAVEMENT MARKINGS WITH SPRAY THERMOPLASTIC AND RANDOM ON-CALL PAVEMENT MARKING ON VARIOUS INTERSTATE AND STATE ROUTES.,0.0,MILES,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
CNU901,KNOX AND LOUDON,2,1,Pavement Marking,Other,THE ADDITION OF HIGH FRICTION SURFACE TREATMENT (HFST) AND PAVEMENT MARKINGS ON VARIOUS INTERSTATE RAMPS.,0.0,MILES,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
CNU040,"FAYETTE, LAUDERDALE, SHELBY, AND TIPTON",4,1,Pavement Marking,Other,THE RETRACING OF PAINTED PAVEMENT MARKING LINES ON VARIOUS INTERSTATE AND STATE ROUTES.,0.0,MILES,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
CNU041,"BEDFORD, CHEATHAM, DAVIDSON, DICKSON, GILES, HICKMAN, HOUSTON, HUMPHREYS, LAWRENCE, LEWIS, LINCOLN,
MACON, MARSHALL, MAURY, MONTGOMERY, MOORE, PERRY, ROBERTSON, RUTHERFORD, SMITH, STEWART, SUMNER, TROUSDALE,
WAYNE, WILLIAMSON, AND WILSON",26,1,Pavement Marking,Other,THE RETRACING OF PAVEMENT MARKINGS WITH SPRAY THERMOPLASTIC AND RANDOM ON-CALL PAVEMENT MARKING ON VARIOUS INTERSTATE AND STATE ROUTES.,0.0,MILES,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
CNU368,"ANDERSON, BLOUNT, CAMPBELL, CARTER, CLAIBORNE, COCKE, GRAINGER, GREENE, HAMBLEN, HANCOCK, HAWKINS,
JEFFERSON, JOHNSON, KNOX, LOUDON, MONROE, MORGAN, ROANE, SCOTT, SEVIER, SULLIVAN, UNICOI, UNION, AND WASHINGTON",24,1,Pavement Marking,Other,THE RETRACING OF PAINTED PAVEMENT MARKING LINES ON VARIOUS INTERSTATE AND STATE ROUTES.,0.0,MILES,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
CNU021,"ANDERSON, BLOUNT, CAMPBELL, CARTER, CLAIBORNE, COCKE, GRAINGER, GREENE, HAMBLEN, HANCOCK, HAWKINS,
JEFFERSON, JOHNSON, KNOX, LOUDON, MONROE, MORGAN, ROANE, SCOTT, SEVIER, SULLIVAN, UNICOI, UNION, AND WASHINGTON",24,1,Pavement Marking,Other,THE RETRACING OF PAINTED PAVEMENT MARKING LINES ON VARIOUS INTERSTATE AND STATE ROUTES.,0.0,MILES,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
CNT923,"CARROLL, DICKSON, DYER, HARDEMAN, HENDERSON, HENRY, HICKMAN, HOUSTON, HUMPHREYS, LEWIS, MADISON,
MCNAIRY, OBION, PERRY, SHELBY, AND WAYNE",16,1,Pavement Marking,Other,99555130319 THE AIRFIELD PAVEMENT AND MARKING MAINTENANCE AT VARIOUS AIRPORTS.,0.0,MILES,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
CNU039,"BEDFORD, CHEATHAM, DAVIDSON, DICKSON, GILES, HICKMAN, HOUSTON, HUMPHREYS, LAWRENCE, LEWIS, LINCOLN,
MACON, MARSHALL, MAURY, MONTGOMERY, MOORE, PERRY, ROBERTSON, RUTHERFORD, SMITH, STEWART, SUMNER, TROUSDALE,
WAYNE, WILLIAMSON, AND WILSON",26,1,Pavement Marking,Other,THE RETRACING OF PAINTED PAVEMENT MARKING LINES ON VARIOUS INTERSTATE AND STATE ROUTES.,0.0,MILES,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
CNU374,"BEDFORD, CHEATHAM, DAVIDSON, DICKSON, GILES, HICKMAN, HOUSTON, HUMPHREYS, LAWRENCE, LEWIS, LINCOLN,
MACON, MARSHALL, MAURY, MONTGOMERY, MOORE, PERRY, ROBERTSON, RUTHERFORD, SMITH, STEWART, SUMNER, TROUSDALE,
WAYNE, WILLIAMSON, AND WILSON",26,1,Pavement Marking,Other,THE RETRACING OF PAVEMENT MARKINGS WITH SPRAY THERMOPLASTIC AND RANDOM ON-CALL PAVEMENT MARKING ON VARIOUS INTERSTATE AND STATE ROUTES.,0.0,MILES,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
