year,count,mean_price,median_price,std_price
2014,7999,809.9984960620077,35.0,4439.394060958075
2015,6326,908.0535472652546,36.5,2360.6192966443023
2016,7436,885.004709521248,34.5,2263.709842114528
2017,7420,1024.0283571428572,34.0,2899.3712725978808
2018,7434,891.3334153887544,32.225,2573.0806318846307
2019,7347,1088.8572111065741,33.49,2863.603907675624
2020,7213,1034.412926660197,30.0,3013.5053243143634
2021,7783,1242.8828729281768,30.4,4662.525158955392
2022,6493,1613.9658940397353,39.0,4604.506766385094
2023,7374,1890.2034594521292,40.975,6736.392247793411
2024,7320,1979.6522923497266,40.0,6867.889181464571
2025,7247,1794.1621802125017,46.25,5441.307772972461
