item_no,description,unit
104-03.01,ADDITIONAL WORK (DESCRIPTION),LS
104-03.71,ADDITIONAL WORK (DESCRIPTION),S.F.
104-04.30,ADDITIONAL WORK (DESCRIPTION),LS
105-01.00,"CONSTRUCTION STAKES, LINES AND GRADES",LS
105-01.01,3D DESIGN MODEL,LS
105-01.20,"DESIGN-BUILD CONSTR STAKES, LINES&GRADES",LS
105-01.50,CONSTRUCTION LAYOUT,LS
105-01.55,DESIGN-BUILD DESIGN ENG SERVICES,LS
105-08.20,DESIGN-BUILD CONTRACT MANAGEMENT,LS
105-08.25,DESIGN-BUILD QUALITY MANAGEMENT,LS
105-08.35,DESIGN-BUILD SAFETY MANAGEMENT,LS
105-10.01,ROUTINE MAINTENANCE SERVICES,EACH
106-04.01,SMPLNG & TSTNG OF POTENTIALLY ACIDIC MAT.,EACH
108-03.00,CPM PROJECT SCHEDULE,LS
109-04.20,FORCE ACCOUNT,DOLL
109-04.21,FORCE ACCOUNT,DOLL
109-04.22,FORCE ACCOUNT,DOLL
109-04.50,DESIGN-BUILD ROW SERVICES,LS
109-04.55,DESIGN-BUILD REMOVAL OF WORK,LS
109-09.90,MATERIAL STORAGE/STAGING YARD (DESCRIPTION),MNTH
109-10.01,TRAINEE,HOUR
201-01.00,CLEARING AND GRUBBING,LS
201-01.02,CLEARING,ACRE
201-01.03,CLEARING AND GRUBBING,ACRE
201-01.05,REMOVAL AND DISPOSAL OF BRUSH AND TREES,S.F.
201-05.31,VEGETATION REMOVAL,LS
201-07.01,REMOVAL AND DISPOSAL OF BRUSH & TREES,LS
201-07.03,REMOVAL AND DISPOSAL OF BRUSH & TREES,ACRE
202-01.00,REMOVAL OF STRUCTURES AND OBSTRUCTIONS,LS
202-01.01,REMOVAL OF STRUCTURES AND OBSTRUCTIONS,LS
202-01.02,REMOVAL OF ASBESTOS,LS
202-01.03,REMOVAL OF TRASH AND DEBRIS,LS
202-01.05,REMOVAL OF ASBESTOS (DESCRIPTION),LS
202-01.06,REMOVAL OF ASBESTOS (DESCRIPTION),LS
202-01.07,REMOVAL OF ASBESTOS (DESCRIPTION),LS
202-01.08,REMOVAL OF ASBESTOS (DESCRIPTION),LS
202-01.09,REMOVAL OF ASBESTOS (DESCRIPTION),LS
202-01.11,REMOVAL AND DISPOSAL OF TRASH AND DEBRIS,TON
202-01.13,"REMOVAL OF PIPE (SIZE ,STA.)",L.F.
202-01.14,"REMOVAL OF PIPE (SIZE, STA.)",L.F.
202-01.15,"REMOVAL OF PIPE (SIZE, STA.)",L.F.
202-01.50,REMOVAL OF STRUCTURES AND OBSTRUCTIONS,EACH
202-01.51,REMOVAL OF STRUCTURES AND OBSTRUCTIONS,EACH
202-01.52,REMOVAL OF STRUCTURES AND OBSTRUCTIONS,EACH
202-01.53,REMOVAL OF STRUCTURES AND OBSTRUCTIONS,EACH
202-01.56,REMOVAL OF STRUCTURES & OBSTRUCTIONS (DESCRIPTION),LS
202-01.57,REMOVAL OF STRUCTURES & OBSTRUCTIONS (DESCRIPTION),LS
202-01.58,REMOVAL OF STRUCTURES & OBSTRUCTIONS (DESCRIPTION),LS
202-02.00,REMOVAL OF STRUCTURE COMPONENTS & OBSTRUCTIONS,LS
202-02.01,"REMOVAL OF PIPE (SIZE ,STA.)",L.F.
202-02.02,"REMOVAL OF PIPE (SIZE ,STA.)",L.F.
202-02.03,"REMOVAL OF PIPE (SIZE ,STA.)",L.F.
202-02.04,"REMOVAL OF PIPE (SIZE ,STA.)",L.F.
202-02.05,"REMOVAL OF PIPE (SIZE ,STA.)",L.F.
202-02.06,"REMOVAL OF PIPE (SIZE ,STA.)",L.F.
202-02.07,"REMOVAL OF PIPE (SIZE ,STA.)",L.F.
202-02.08,"REMOVAL OF PIPE (SIZE ,STA.)",L.F.
202-02.09,"REMOVAL OF PIPE (SIZE ,STA.)",L.F.
202-02.10,"REMOVAL OF PIPE (SIZE ,STA.)",L.F.
202-02.11,"REMOVAL OF PIPE (SIZE ,STA.)",L.F.
202-02.12,"REMOVAL OF PIPE (SIZE ,STA.)",L.F.
