contract_number,work_type,project_description,county,Proposal ID,Category Description,Primary County,Letting Date,tdot_work_type,match
CNP294,Bridge Work,"The repair of the bridges on S.R. 840 over Boston-Theta Road (L.M. 13.58 and L.M. 13.60), and over Sycamore Creek (L.M. 15.94).",WILLIAMSON,CNP294,"BRIDGE, ROADWAY",WILLIAMSON,20151016,Roadway+Bridge,True
CNT344,Bridge Work,THE REPAIR OF THE BRIDGE ON S.R. 170 OVER BYRAMS FORK CREEK (L.M. 1.17).,ANDERSON,CNT344,BRIDGE,ANDERSON,20191004,Bridge,True
CNS292,Bridge Work,THE REPAIR OF THE BRIDGE ON U.S. 41A (S.R. 16) OVER KELLY CREEK (L.M. 4.79).,RUTHERFORD,CNS292,"BRIDGE, ROADWAY",RUTHERFORD,20180817,Roadway+Bridge,True
CNT361,Bridge Work,THE REPAIR OF THE BRIDGES ON I-65 OVER CARTWRIGHT CIRCLE (L.M. 2.46) AND WILLIAMSON ROAD (L.M. 3.50).,SUMNER,CNT361,BRIDGE,SUMNER,20191213,Bridge,True
CNS290,Bridge Work,THE REPAIR OF THE BRIDGE ON HYNDSVER ROAD (L.M. 1.82) OVER S.R. 22 IN MARTIN.,WEAKLEY,CNS290,BRIDGE,WEAKLEY,20180817,Bridge,True
CNT398,Bridge Work,"THE REPAIR OF BRIDGES ON U.S. 41 (U.S. 70S, S.R. 1) OVER OVERALL CREEK (L.M. 10.75) IN MURFREESBORO.",RUTHERFORD,CNT398,BRIDGE,RUTHERFORD,20191213,Bridge,True
CNT393,Bridge Work,THE REPAIR OF BRIDGES ON U.S. 45E (S.R. 43) OVER OVERFLOW (L.M. 0.18).,OBION,CNT393,BRIDGE,OBION,20191213,Bridge,True
CNT397,Bridge Work,THE REPAIR OF THE BRIDGE ON S.R. 108 OVER BRANCH (L.M. 28.18).,GRUNDY,CNT397,BRIDGE,GRUNDY,20191213,Bridge,True
CNT395,Bridge Work,THE REPAIR OF BRIDGES ON U.S. 51 (S.R. 3) OVER S.R. 211 (L.M. 11.99) IN DYERSBURG.,DYER,CNT395,BRIDGE,DYER,20191213,Bridge,True
CNT399,Bridge Work,THE REPAIR OF THE BRIDGES ON S.R. 22 BP OVER BRIER CREEK (L.M. 0.34) AND CSX RAILROAD (L.M. 3.10) IN HUNTINGDON.,CARROLL,CNT399,BRIDGE,CARROLL,20191213,Bridge,True
CNT238,Bridge Work,THE REPAIR OF THE BRIDGES ON I-75 OVER U.S. 25W (S.R. 9) (L.M. 30.67).,CAMPBELL,CNT238,BRIDGE,CAMPBELL,20191213,Bridge,True
CNN057,Bridge Work,THE REPAIR OF THE BRIDGE ON S.R. 254 (OLD HICKORY BOULEVARD) OVER OTTER CREEK (L.M. 2.54),DAVIDSON,CNN057,"BRIDGE, ROADWAY, UTILITY",DAVIDSON,20140214,Roadway+Bridge,True
CNT068,Bridge Work,THE REPAIR OF BRIDGES ON S.R. 22 OVER MUD CREEK (L.M. 15.71) AND CHESTNUT BRANCH (L.M. 15.75).,WEAKLEY,CNT068,BRIDGE,WEAKLEY,20190208,Bridge,True
CNT036,Bridge Work,THE REPAIR OF THE BRIDGE ON U.S. 11W (S.R. 1) OVER REEDY CREEK (L.M. 9.77) IN KINGSPORT.,SULLIVAN,CNT036,BRIDGE,SULLIVAN,20190208,Bridge,True
CNN071,Bridge Work,"THE REPAIR OF TWO (2) BRIDGES ON I-155 OVER OVERFLOW (L.M. 6.19 R & L), AND TWO (2) BRIDGES OVER S.R. 182 (LM 7.40 R & L).",DYER,CNN071,BRIDGE,DYER,20140214,Bridge,True
CNT066,Bridge Work,THE REPAIR OF THE BRIDGE ON U.S. 78 (S.R 4) OVER JOHNS CREEK (L.M. 2.23).,SHELBY,CNT066,BRIDGE,SHELBY,20190208,Bridge,True
CNT062,Bridge Work,THE REPAIR OF BRIDGES ON U.S. 64 (S.R. 40) OVER NORTH POTATO CREEK (L.M. 26.93).,POLK,CNT062,BRIDGE,POLK,20190208,Bridge,True
CNT067,Bridge Work,"THE REPAIR OF 6 BRIDGES ON VARIOUS ROUTES OVER U.S. 45W (U.S. 51, S.R. 3).",OBION,CNT067,BRIDGE,OBION,20190208,Bridge,True
CNN236,Bridge Work,THE REPAIR OF THE BRIDGE ON STINKING CREEK ROAD OVER I-75 (L.M. 16.36).,CAMPBELL,CNN236,BRIDGE,CAMPBELL,20140711,Bridge,True
CNQ941,Bridge Work,THE REPAIR OF THE BRIDGE ON HIXSON PIKE OVER S.R. 153 (L.M. 4.32 L & R).,HAMILTON,CNQ941,BRIDGE,HAMILTON,20161202,Bridge,True
CNQ945,Bridge Work,THE REPAIR OF THE BRIDGE ON U.S. 27 (S.R. 29) OVER THE NORFOLK SOUTHERN RAILROAD (L.M. 21.19).,MORGAN,CNQ945,BRIDGE,MORGAN,20161202,Bridge,True
CNQ940,Bridge Work,THE REPAIR OF THE BRIDGE ON S.R. 84 OVER BRANCH (L.M. 10.16).,OVERTON,CNQ940,BRIDGE,OVERTON,20161202,Bridge,True
CNQ370,Bridge Work,THE REPAIR OF THE BRIDGE ON I-65 OVER THE CUMBERLAND RIVER AND COWAN STREET (L.M. 10.24).,DAVIDSON,CNQ370,"BRIDGE, ROADWAY",DAVIDSON,20161202,Roadway+Bridge,True
CNQ345,Bridge Work,THE REPAIR OF THE BRIDGE ON S.R. 56 OVER PEPPER HOLLOW BRANCH (LM 31.24).,GRUNDY,CNQ345,BRIDGE,GRUNDY,20161202,Bridge,True
CNS265,Bridge Work,"THE REPAIR OF THE BRIDGE ON U.S. 25W (U.S. 70, S.R. 9) OVER S.R. 34 (L.M. 13.39).",KNOX,CNS265,BRIDGE,KNOX,20180817,Bridge,True
CNQ373,Bridge Work,THE REPAIR OF THE BRIDGES ON S.R. 246 OVER CARTERS CREEK (L.M. 1.07) AND MAYHORN BRANCH (L.M. 2.34).,MAURY,CNQ373,BRIDGE,MAURY,20161202,Bridge,True
CNQ375,Bridge Work,"THE REPAIR OF THE BRIDGE ON U.S. 41 (U.S. 70S, S.R. 1) OVER HARTS BRANCH (L.M. 4.76).",RUTHERFORD,CNQ375,"BRIDGE, ROADWAY",RUTHERFORD,20161202,Roadway+Bridge,True
CNQ374,Bridge Work,THE REPAIR OF THE BRIDGE ON U.S. 41A (S.R. 16) OVER THE HARPETH RIVER (L.M. 1.71).,RUTHERFORD,CNQ374,BRIDGE,RUTHERFORD,20161202,Bridge,True
CNN044,Bridge Work,"THE REPAIR OF BRIDGES ON S.R. 385 OVER HALL CREEK, MEMPHIS-ARLINGTON ROAD, AND THE LOOSAHATCHIE RIVER.",SHELBY,CNN044,BRIDGE,SHELBY,20140214,Bridge,True
CNT001,Bridge Work,"THE REPAIR OF THE BRIDGES ON ARLINGTON AVENUE OVER I-40 (L.M. 0.12 AND L.M. 0.17) AND ON U.S. 41 (U.S. 70S, S.R. 1) OVER MILL CREEK (L.M. 21.99).",DAVIDSON,CNT001,"BRIDGE, ROADWAY",DAVIDSON,20190208,Roadway+Bridge,True
CNT071,Bridge Work,THE REPAIR OF THE BRIDGES ON I-65 OVER SINKING CREEK (L.M. 2.76).,GILES,CNT071,BRIDGE,GILES,20190208,Bridge,True
CNN085,Bridge Work,THE REPAIR OF THE BRIDGE ON S.R. 351 OVER CAMP CREEK (L.M. 8.10).,GREENE,CNN085,BRIDGE,GREENE,20140214,Bridge,True
CNQ104,Bridge Work,THE REPAIR OF THE BRIDGE ON S.R. 302 OVER CLEAR CREEK (L.M. 2.57).,RHEA,CNQ104,BRIDGE,RHEA,20161202,Bridge,True
CNS286,Bridge Work,THE REPAIR OF THE BRIDGE ON I-40 OVER 46TH AVENUE (L.M. 13.33).,DAVIDSON,CNS286,BRIDGE,DAVIDSON,20180817,Bridge,True
CNS262,Bridge Work,THE REHABILITATION OF THE BRIDGE ON HILLWOOD BOULEVARD OVER THE C.S.X. RAILROAD AND RICHLAND CREEK (L.M. 0.09).,DAVIDSON,CNS262,"BRIDGE, ROADWAY",DAVIDSON,20180817,Roadway+Bridge,True
CNT343,Bridge Work,THE REPAIR OF THE BRIDGE ON S.R. 107 OVER HORSE CREEK (L.M. 17.36).,GREENE,CNT343,BRIDGE,GREENE,20191004,Bridge,True
CNT110,Bridge Work,THE REPAIR OF THE BRIDGE ON U.S. 70 (S.R. 1) OVER THE CALFKILLER RIVER (L.M. 9.35) IN SPARTA.,WHITE,CNT110,BRIDGE,WHITE,20190329,Bridge,True
CNS307,Bridge Work,THE REPAIR OF THE BRIDGES ON U.S. 70 (S.R. 26) OVER SINKING CREEK (L.M. 2.33) IN LEBANON.,WILSON,CNS307,BRIDGE,WILSON,20181005,Bridge,True
CNS314,Bridge Work,THE REPAIR OF THE BRIDGES ON U.S. 45E (S.R. 43) OVER OVERFLOW (L.M. 20.50).,WEAKLEY,CNS314,BRIDGE,WEAKLEY,20181005,Bridge,True
CNS305,Bridge Work,THE REPAIR OF THE BRIDGE ON S.R. 161 OVER THE RED RIVER (L.M. 9.60).,ROBERTSON,CNS305,BRIDGE,ROBERTSON,20181005,Bridge,True
